save,physical_time_s,physical_time_us,metric,units,C1_value,C2_value,C2_minus_C1,relative_difference,classification,note
2,1e-07,0.09999999999999999,Y_O2_min_valid_gas,mass fraction,0.06303426222560682,0.06320067291342579,0.00016641068781897417,0.002640003736751472,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_OH_integral,kg/m-depth,0.0,1.6122087369575142e-13,1.6122087369575142e-13,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_OH_max_valid_gas,kg/m3,0.0,0.0005392525816,0.0005392525816,nan,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_OH_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_OH_max_valid_gas,mass fraction,0.0,8.786215855542323e-05,8.786215855542323e-05,nan,small-to-moderate,
2,1e-07,0.09999999999999999,Y_OH_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_HO2_integral,kg/m-depth,0.0,2.240526300458724e-13,2.240526300458724e-13,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_HO2_max_valid_gas,kg/m3,0.0,0.00058659712132,0.00058659712132,nan,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_HO2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_HO2_max_valid_gas,mass fraction,0.0,9.557615677568424e-05,9.557615677568424e-05,nan,small-to-moderate,
2,1e-07,0.09999999999999999,Y_HO2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_H2O2_integral,kg/m-depth,0.0,2.0780000709007895e-16,2.0780000709007895e-16,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_H2O2_max_valid_gas,kg/m3,0.0,1.22318421e-06,1.22318421e-06,nan,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_H2O2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_H2O2_max_valid_gas,mass fraction,0.0,1.992973398154801e-07,1.992973398154801e-07,nan,small-to-moderate,
2,1e-07,0.09999999999999999,Y_H2O2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_H2O_integral,kg/m-depth,0.0,1.3489228787946385e-14,1.3489228787946385e-14,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_H2O_max_valid_gas,kg/m3,0.0,6.412412269e-05,6.412412269e-05,nan,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_H2O_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_H2O_max_valid_gas,mass fraction,0.0,1.0447949675454599e-05,1.0447949675454599e-05,nan,small-to-moderate,
2,1e-07,0.09999999999999999,Y_H2O_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_CO_integral,kg/m-depth,0.0,2.0277616001226448e-14,2.0277616001226448e-14,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_CO_max_valid_gas,kg/m3,0.0,0.00010773714746,0.00010773714746,nan,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_CO_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_CO_max_valid_gas,mass fraction,0.0,1.7553960157878514e-05,1.7553960157878514e-05,nan,small-to-moderate,
2,1e-07,0.09999999999999999,Y_CO_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_CO2_integral,kg/m-depth,0.0,1.2675952090395372e-15,1.2675952090395372e-15,nan,roundoff-level,
2,1e-07,0.09999999999999999,rhoY_CO2_max_valid_gas,kg/m3,0.0,6.67018026e-06,6.67018026e-06,nan,small-to-moderate,
2,1e-07,0.09999999999999999,rhoY_CO2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
2,1e-07,0.09999999999999999,Y_CO2_max_valid_gas,mass fraction,0.0,1.08679393589272e-06,1.08679393589272e-06,nan,small-to-moderate,
2,1e-07,0.09999999999999999,Y_CO2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,runtime_t_step_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
3,1.5e-07,0.15,runtime_dt_s_at_save,unavailable: run_time.inf time/dt are precision-limited to zero,nan,nan,nan,nan,unavailable,per-save timestep/dt unavailable from precision-limited run_time.inf
3,1.5e-07,0.15,valid_gas_Tmax,K,1970.0728400528474,1970.0855642379827,0.012724185135311927,6.458738416479362e-06,small,
3,1.5e-07,0.15,valid_gas_T999,K,1893.7766619752852,1893.724865894896,-0.051796080389067356,-2.7350680483643708e-05,small,
3,1.5e-07,0.15,valid_gas_T95,K,1271.1791273816143,1271.1793719971995,0.00024461558518851234,1.9243203410079084e-07,small,
3,1.5e-07,0.15,valid_gas_Tmean,K,787.2240027425078,787.2207200283877,-0.0032827141200186816,-4.169987333443161e-06,small,
3,1.5e-07,0.15,valid_gas_cell_count,cells,41047.0,41047.0,0.0,0.0,roundoff-level,
3,1.5e-07,0.15,vaporized_fuel_mass_proxy_vapor_alpha_rho_integral,kg/m-depth proxy,1.5940375149773494e-08,1.590802101484916e-08,-3.235413492433501e-11,-0.0020296972072702283,small-to-moderate,
3,1.5e-07,0.15,liquid_alpha_area,m2,7.867854819284907e-09,7.867854819284907e-09,0.0,0.0,roundoff-level,
3,1.5e-07,0.15,equivalent_diameter_m,m,0.00010008828047353331,0.00010008828047353331,0.0,0.0,roundoff-level,
3,1.5e-07,0.15,D2_m2,m2,1.0017663888148669e-08,1.0017663888148669e-08,0.0,0.0,roundoff-level,
3,1.5e-07,0.15,liquid_centroid_x,m,0.0005027270256499997,0.0005027277724057961,7.467557964135549e-10,1.4854100899947416e-06,small,
3,1.5e-07,0.15,liquid_centroid_y,m,0.00030232558139530537,0.0003023255813944557,-8.496892425768898e-16,-2.8105105716008857e-12,roundoff-level,
3,1.5e-07,0.15,liquid_streamwise_extent_m,m,9.813084112000002e-05,9.813084112000002e-05,0.0,0.0,roundoff-level,
3,1.5e-07,0.15,liquid_cross_stream_extent_m,m,9.302325581e-05,9.302325581e-05,0.0,0.0,roundoff-level,
3,1.5e-07,0.15,negative_rhoY_count,count,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,negative_Y_count,count,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_above_one_count,count,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,sumY_violation_count,count,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,max_abs_sumY_minus_1,dimensionless,3.219646771412954e-14,5.806466418789569e-14,2.5868196473766147e-14,0.803448275862069,roundoff-level,
3,1.5e-07,0.15,gas_species_mass_relative_error,dimensionless,-1.518705550739823e-15,-1.6706159840693276e-15,-1.5191043332950465e-16,0.10002625805608134,roundoff-level,
3,1.5e-07,0.15,run_time_seconds_final,"s, run-level",6288.0,8581.0,2293.0,0.36466284987277353,meaningful,
3,1.5e-07,0.15,cost_seconds_per_timestep,"s/step, run-level",1.9823455233291298,2.7052332912988653,0.7228877679697354,0.36466284987277364,meaningful,
3,1.5e-07,0.15,rhoY_NC12H26_integral,kg/m-depth,8.4909843226528e-09,8.256816987464464e-09,-2.341673351883371e-10,-0.027578349728383106,meaningful,
3,1.5e-07,0.15,rhoY_NC12H26_max_valid_gas,kg/m3,14.19752899866494,14.14131720960685,-0.05621178905808932,-0.003959265662593483,small-to-moderate,
3,1.5e-07,0.15,rhoY_NC12H26_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_NC12H26_max_valid_gas,mass fraction,0.7172313657702692,0.7163543523762199,-0.0008770133940493308,-0.0012227761304156907,small-to-moderate,
3,1.5e-07,0.15,Y_NC12H26_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_O2_integral,kg/m-depth,3.2310252038680385e-07,3.2310004939765327e-07,-2.4709891505834883e-12,-7.647693826793214e-06,small,
3,1.5e-07,0.15,rhoY_O2_max_valid_gas,kg/m3,2.42194134143947,2.42195381865919,1.2477219720086197e-05,5.151743151909046e-06,small,
3,1.5e-07,0.15,rhoY_O2_min_valid_gas,kg/m3,0.16804189595702,0.16804226906547,3.7310845002469506e-07,2.2203299236764434e-06,small,
3,1.5e-07,0.15,Y_O2_max_valid_gas,mass fraction,0.23290922551716972,0.23290922552177887,4.609146397882569e-12,1.9789453971383323e-11,roundoff-level,
3,1.5e-07,0.15,Y_O2_min_valid_gas,mass fraction,0.06580336925045113,0.0658830121328874,7.964288243626771e-05,0.001210316178995982,small-to-moderate,
3,1.5e-07,0.15,rhoY_OH_integral,kg/m-depth,0.0,3.5817867655578793e-13,3.5817867655578793e-13,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_OH_max_valid_gas,kg/m3,0.0,0.00056396629893,0.00056396629893,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_OH_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_OH_max_valid_gas,mass fraction,0.0,9.862198957581626e-05,9.862198957581626e-05,nan,small-to-moderate,
3,1.5e-07,0.15,Y_OH_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_HO2_integral,kg/m-depth,0.0,1.1597677383104626e-12,1.1597677383104626e-12,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_HO2_max_valid_gas,kg/m3,0.0,0.00413596751852,0.00413596751852,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_HO2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_HO2_max_valid_gas,mass fraction,0.0,0.0002643744877065479,0.0002643744877065479,nan,small-to-moderate,
3,1.5e-07,0.15,Y_HO2_min_valid_gas,mass fraction,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_H2O2_integral,kg/m-depth,0.0,1.4572896900148265e-14,1.4572896900148265e-14,nan,roundoff-level,
3,1.5e-07,0.15,rhoY_H2O2_max_valid_gas,kg/m3,0.0,2.151133516e-05,2.151133516e-05,nan,small-to-moderate,
3,1.5e-07,0.15,rhoY_H2O2_min_valid_gas,kg/m3,0.0,0.0,0.0,nan,roundoff-level,
3,1.5e-07,0.15,Y_H2O2_max_valid_gas,mass fraction,0.0,1.3750224554093897e-06,1.3750224554093897e-06,nan,small-to-moderate,
